Product Name,Features,Price,Company,Processor,Operating System,RAM,Display,Storage,Type
MSI Ryzen 5 Hexa Core 7530U,"['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Carry-in Warranty']",43990,MSI,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16 GB DDR4 RAM,35.56 cm (14 Inch) Display,512 GB SSD,N\A
Lenovo IdeaPad Slim 5 AMD Ryzen 5 Hexa Core 7530U,"['AMD Ryzen 5 Hexa Core Processor', '16 GB DDR4 RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Carry-in Warranty']",60990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16 GB DDR4 RAM,35.56 cm (14 Inch) Display,512 GB SSD,IdeaPad
HP Ryzen 3 Quad Core 5300U,"['AMD Ryzen 3 Quad Core Processor', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year onsite warranty']",36990,HP,AMD Ryzen 3 Quad Core Processor,64 bit Windows 11 Operating System,8 GB DDR4 RAM,35.56 cm (14 Inch) Display,512 GB SSD,N\A
HP Intel Core i3 12th Gen 1215U,"['Intel Core i3 Processor (12th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Onsite Warranty']",40850,HP,Intel Core i3 Processor (12th Gen),64 bit Windows 11 Operating System,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A
Lenovo Yoga Slim 7 Pro Intel Evo Core i5 11th Gen 11320H,"['Intel Core i5 Processor (11th Gen)', '16 GB LPDDR4X RAM', 'Windows 11 Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection']",69990,Lenovo,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16 GB LPDDR4X RAM,35.56 cm (14 Inch) Display,512 GB SSD,N\A
Lenovo IdeaPad Slim 5 Intel Core i7 13th Gen 13700H,"['Intel Core i7 Processor (13th Gen)', '16 GB LPDDR5 RAM', 'Windows 11 Operating System', '512 GB SSD', '40.64 cm (16 Inch) Display', 'Microsoft Office Home & Student 2021', '1 Year Carry-in Warranty']",86990,Lenovo,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,16 GB LPDDR5 RAM,40.64 cm (16 Inch) Display,512 GB SSD,IdeaPad
Lenovo IdeaPad Slim 3 Intel Core i3 11th Gen 1115G4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 Inch) Display', 'Office Home and Student 2021', '2 Year warranty']",36499,Lenovo,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8 GB DDR4 RAM,39.62 cm (15.6 Inch) Display,512 GB SSD,IdeaPad
ASUS VivoBook 16X Ryzen 7 Octa Core 5800H,"['AMD Ryzen 7 Octa Core Processor', '16 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '40.64 cm (16 Inch) Display', '1 Year Onsite Warranty']",62890,ASUS,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16 GB DDR4 RAM,40.64 cm (16 Inch) Display,512 GB SSD,VivoBook
DELL Core i3 11th Gen 1115G4,"['Intel Core i3 Processor (11th Gen)', '8 GB DDR4 RAM', 'DOS Operating System', '512 GB SSD', '35.56 cm (14 Inch) Display', '1 Year Onsite Warranty']",34490,DELL,Intel Core i3 Processor (11th Gen),DOS Operating System,8 GB DDR4 RAM,35.56 cm (14 Inch) Display,512 GB SSD,N\A
Lenovo IdeaPad Slim 3 Core i5 11th Gen 1135G7,"['Intel Core i5 Processor (11th Gen)', '8 GB DDR4 RAM', '64 bit Windows 11 Operating System', '512 GB SSD', '39.62 cm (15.6 inch) Display', '1Year Onsite warranty']",46990,Lenovo,Intel Core i5 Processor (11th Gen),64 bit Windows 11 Operating System,8 GB DDR4 RAM,39.62 cm (15.6 inch) Display,512 GB SSD,IdeaPad
