Price,Company,Processor,Operating System,RAM,Display,Storage,Type,Warranty
35990,HP,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,35.56 cm (14 inch) Display,256 GB SSD,N\A,1 Year Onsite Warranty
36990,DELL,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,Inspiron,
69990,Lenovo,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,N\A,3 Years Onsite Warranty + 3 Years Premium Care + 1 Year Accidental Damage Protection
60990,Lenovo,AMD Ryzen 5 Hexa Core Processor,Windows 11 Operating System,16,35.56 cm (14 Inch) Display,512 GB SSD,IdeaPad,1 Year Carry-in Warranty
79990,APPLE,Apple M1 Processor,Mac OS Operating System,8,33.78 cm (13.3 inch) Display,256 GB SSD,MacBook Air,
30749,Lenovo,AMD Ryzen 3 Hexa Core Processor,Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
79990,APPLE,Apple M1 Processor,Mac OS Operating System,8,33.78 cm (13.3 inch) Display,256 GB SSD,MacBook Air,
23990,Acer,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,35.56 cm (14 Inch) Display,256 GB SSD,N\A,1 Year Warranty
86990,Lenovo,Intel Core i7 Processor (13th Gen),Windows 11 Operating System,16,40.64 cm (16 Inch) Display,512 GB SSD,IdeaPad,1 Year Carry-in Warranty
59990,MSI,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,39.62 cm (15.6 inch) Display,512 GB SSD,N\A,1 Year Warranty Term
59990,MSI,AMD Ryzen 7 Octa Core Processor,64 bit Windows 11 Operating System,16,39.62 cm (15.6 inch) Display,512 GB SSD,N\A,1 Year Warranty Term
46990,ASUS,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,VivoBook,1 Year Onsite Warranty
56990,Lenovo,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,8,39.62 cm (15.6 inch) Display,512 GB SSD,IdeaPad,1 Year Carry-in Warranty
69990,Lenovo,Intel Core i5 Processor (12th Gen),Windows 11 Operating System,16,39.62 cm (15.6 inch) Display,512 GB SSD,IdeaPad,1 Year Carry-in Warranty
26990,Infinix,Intel Core i3 Processor (11th Gen),64 bit Windows 11 Operating System,8,35.56 cm (14 inch) Display,512 GB SSD,N\A,1 year Onsite Warranty
25990,Acer,AMD Ryzen 3 Dual Core Processor,64 bit Windows 11 Operating System,8,35.56 cm (14 inch) Display,256 GB SSD,N\A,1 Year International Travelers Warranty (ITW)
43990,HP,Intel Core i3 Processor (12th Gen),Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
63990,SAMSUNG,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,16,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
63990,HP,Intel Core i5 Processor (12th Gen),64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
57990,HP,Intel Core i5 Processor (11th Gen),Windows 11 Operating System,16,40.89 cm (16.1 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
42490,HP,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,N\A,1 Year Onsite Warranty
40990,Lenovo,AMD Ryzen 5 Hexa Core Processor,64 bit Windows 11 Operating System,8,39.62 cm (15.6 Inch) Display,512 GB SSD,IdeaPad,2 Year warranty
